n_employes,dist_moyenne,dist_std,dist_max,dispersion_lat,dispersion_lng,bbox_area,label_strategie_flotte,meilleure_distance_km
24,3.6657473676690095,1.1366663372830168,5.954802289357323,0.01741292822962195,0.014793395927935219,46.836830891859215,0,77.352
24,3.4419280688917318,1.1526388218986756,5.35832590641881,0.013595978654421453,0.013940344828656127,35.04510930429997,0,70.721
6,2.4666845485908016,0.4057058585744556,2.9424864362981236,0.004755125100062618,0.015856964644575276,8.922070125023673,0,19.087
10,2.2590939060676707,1.4089687687929608,4.827717429995233,0.014114557228894535,0.01357874789248514,24.17873267067273,0,27.204
22,2.097103829559934,1.0939925832412265,4.739854331967695,0.016465496354508797,0.010646732844826942,37.02300324096526,0,50.95
19,3.840156548595222,1.2425938719598921,5.4434701175152655,0.01169734764456895,0.0149872820944148,27.259855353204923,0,63.674
16,1.8879852994285908,0.8059615035031829,2.961662810771655,0.010715168341928455,0.012319391636849204,22.284092047889946,0,31.166
19,1.7977481501362844,1.0277203791561906,4.055206358488974,0.010934612416859167,0.01647513200281293,33.43720492901363,0,40.493
23,3.019389679566444,1.316115310101307,4.985725506659312,0.014623609177562637,0.01665762434180239,42.734946905818305,0,66.055
6,2.2586511477198914,1.0862810033984083,4.505559186375638,0.008997229043216086,0.009751934530879589,10.433223498539931,0,17.976
11,3.1906850231537294,1.286804506245806,5.8644219269461475,0.011429366367837226,0.017758564371398135,32.58712887035173,0,38.783
24,5.331435299159335,1.5373707417890454,8.884944539628165,0.015641895688163848,0.016908912820462838,60.14866512494153,0,108.292
22,2.20953380067403,1.3435751741954352,5.825094482991246,0.01591896425255387,0.016689574953824473,53.9398320021761,0,53.863
6,3.2718656990632913,1.1149783822668258,5.446680656286133,0.007334768821525973,0.012224436853351926,9.444065471990692,0,21.745
8,4.099480261512733,1.2923314365089478,5.917567190478704,0.017254598054785096,0.006276784836637462,10.771117961702148,0,29.731
21,4.528084671054618,1.3522051904130779,7.063839499203725,0.015617726063215813,0.013689703549813343,40.879270644840176,0,84.59
10,3.042221864461879,1.4441523062718262,4.915226607199771,0.013135517184218945,0.011365179229449247,18.328834417111242,0,29.71
6,3.823112765382851,1.0393208561225231,5.374275759688856,0.007857085825386545,0.010251501067203333,7.794254520652109,0,23.454
14,3.8560197164734547,1.1969811618530735,5.387981840854591,0.014682417169333576,0.013827452402211858,27.976890750376267,0,51.212
14,4.680810411564784,1.040794964762798,6.348391179298322,0.008096515640126159,0.012218211265092127,17.706476089373737,0,57.673
15,2.943710663859616,1.146364565531501,5.005994530479377,0.01471365094068258,0.01241008068543906,26.88800692107613,0,43.388
16,3.036541926179779,1.5257810480451224,5.43633712905248,0.015515185988748308,0.016419218334841227,38.741997257095925,0,49.581
21,5.802273699095064,1.5046049028748059,8.433885226905586,0.014044991143690783,0.015947341226838524,40.05884956458621,0,99.903
16,2.033149623083752,0.900900325300378,4.21254051120221,0.013757887108778804,0.011414059012368565,30.998749705441714,0,38.046
11,3.9671058320506574,1.0397239458013554,6.286847219790232,0.01678075792068699,0.013810770856269503,44.67509706759971,0,42.291
24,4.443499677773063,1.1899078605247515,6.315716958401735,0.012778524418429742,0.013630461740341632,28.195856132309782,0,86.379
14,4.822711497870672,1.4202725144607364,7.351319759175517,0.012587880432792645,0.015791486456164995,32.893834945805466,0,61.57
23,5.946596760294119,1.8521992475374631,9.131228634004788,0.016269245197375198,0.015765172861518177,44.949539095381,0,106.37
24,2.113346193872748,1.0952300022575394,4.2334185510037825,0.012113287697007577,0.01675905560812661,37.873371247670825,0,55.248
16,3.8242881241023694,1.2478177861795912,6.372397259835779,0.014781412156530931,0.012660101633175111,34.906248199606026,0,56.967
12,2.4497310298305037,1.4289287560053214,5.578721328124068,0.016875984974809726,0.013613917214558235,37.64028241631943,0,38.372
11,3.8917427313547095,1.1236139743290157,5.5614399630745615,0.013965279518939848,0.01772968801400297,27.515211383676775,0,38.893
22,3.092509103161554,1.2548924467781486,5.70197144256051,0.01578045335133862,0.017665502986942097,67.66355952087923,0,73.073
16,1.8315387929349507,1.2277634670508384,4.674235817231932,0.013166368230264992,0.01650803197142656,49.42233194916632,0,39.799
12,6.245737892122041,1.5127327185797956,9.56327581553195,0.016001692927549094,0.012398771495021737,25.307696254197133,0,63.052
18,2.756105983396345,1.2448359231733999,4.730724444257535,0.018455499428593588,0.01268334006313672,38.017146944036575,0,49.738
15,2.5558419596273105,1.4305594563992303,5.476095598531427,0.015186076914300878,0.00967612082043152,22.200179025415014,0,37.546
16,3.527995256789735,1.356245458136166,6.969861249122448,0.013347357767204755,0.013287386558276836,35.47591711467875,0,52.266
20,1.8930933825493272,0.9967485366511466,4.520360647590181,0.013785520122676653,0.011848400258647801,32.20976828704141,0,42.657
8,3.7116469694938004,1.2547646094491278,5.2509709035747125,0.0164342434873825,0.011784429232360814,23.46681390445801,0,31.311
17,5.041389629123497,1.5681216252924326,8.567017030917068,0.014763097154982942,0.015211462296910875,48.713502242590486,0,76.316
17,4.478308045790573,1.7994963305267793,8.422556576847835,0.015689898281861396,0.01455437980598048,41.09367773707411,0,68.359
7,3.372138818796642,0.8034740577067484,4.594152158215284,0.014688025950158267,0.016592451670148865,29.233521442074657,0,28.163
18,3.6404374512292605,0.9837738200304451,5.6298993907686095,0.01368083880571557,0.010860013559061488,28.31635779389467,0,60.608
6,3.728993317829078,1.597140394675913,6.144165573178584,0.013993590848459256,0.011972556967655033,14.616763422622778,0,26.309
15,3.6813295449376136,0.8764154731030045,5.068000644261531,0.008826178927683621,0.015621645379429332,21.1525109757632,0,48.455
9,3.089468453259152,1.001344579136068,4.073844405192775,0.015985636922883104,0.017822369872394044,39.255768504763516,0,32.316
20,4.492213511182277,1.47787311262398,7.055646763700843,0.013619956662607308,0.014615775304921055,28.45091857284089,0,76.11
10,3.011924791998353,1.5329312807418163,6.46320785521089,0.011307313860054702,0.021025662734380102,39.08524527452894,0,36.908
